UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
239929,"R",298,"R",388,"R",77,"R",1,"R",0,"R",1,"R",1,"R",100,"R",1,"R",0,"R",1,"R",1,"R",100,"R",16
239965,"A",,"A",,"A",,"R",9,"Z",0,"R",9,"R",9,"R",100,"R",0,"Z",0,"R",0,"R",0,"A",,"R",5
240055,"R",3910,"R",6432,"R",61,"R",3663,"R",0,"R",3663,"R",2121,"R",58,"R",501,"R",0,"R",501,"R",215,"R",43,"R",24
240107,"R",410,"R",829,"R",49,"R",358,"R",0,"R",358,"R",237,"R",66,"R",7,"R",0,"R",7,"R",6,"R",86,"R",14
240116,"R",1927,"R",3296,"R",58,"R",1823,"R",0,"R",1823,"R",1141,"R",63,"R",873,"R",1,"R",872,"R",496,"R",57,"R",14
240125,"R",480,"R",2074,"R",23,"R",482,"R",0,"R",482,"R",327,"R",68,"R",332,"R",0,"R",332,"R",182,"R",55,"R",15
240170,"R",630,"R",1389,"R",45,"R",547,"R",0,"R",547,"R",275,"R",50,"R",230,"R",0,"R",230,"R",111,"R",48,"R",12
240189,"R",1941,"R",2666,"R",73,"R",2132,"Z",0,"R",2132,"R",1662,"R",78,"R",22,"Z",0,"R",22,"R",12,"R",55,"R",22
240198,"R",492,"R",1300,"R",38,"R",328,"Z",0,"R",328,"R",214,"R",65,"R",243,"Z",0,"R",243,"R",180,"R",74,"R",10
240240,"A",,"A",,"A",,"R",26,"R",0,"R",26,"R",25,"R",96,"Z",0,"Z",0,"Z",0,"Z",0,"A",,"R",13
240268,"R",2010,"R",2750,"R",73,"R",2052,"R",0,"R",2052,"R",1759,"R",86,"R",7,"R",0,"R",7,"R",3,"R",43,"R",22
240277,"R",1037,"R",1888,"R",55,"R",1000,"R",0,"R",1000,"R",744,"R",74,"R",17,"R",0,"R",17,"R",8,"R",47,"R",28
240329,"R",1826,"R",2379,"R",77,"R",1779,"R",0,"R",1779,"R",1493,"R",84,"R",6,"R",0,"R",6,"R",4,"R",67,"R",21
240338,"R",202,"R",253,"R",80,"R",224,"R",0,"R",224,"R",169,"R",75,"R",0,"R",0,"R",0,"R",0,"A",,"R",10
240365,"R",1874,"R",4025,"R",47,"R",1807,"Z",0,"R",1807,"R",1369,"R",76,"R",36,"Z",0,"R",36,"R",12,"R",33,"R",24
240374,"R",788,"R",1360,"R",58,"R",833,"Z",0,"R",833,"R",536,"R",64,"R",96,"Z",0,"R",96,"R",47,"R",49,"R",19
240392,"R",167,"R",747,"R",22,"R",355,"R",0,"R",355,"R",236,"R",66,"R",205,"R",0,"R",205,"R",96,"R",47,"R",21
240417,"R",1517,"R",2287,"R",66,"R",1633,"Z",0,"R",1633,"R",1160,"R",71,"R",11,"Z",0,"R",11,"R",5,"R",45,"R",21
240426,"R",364,"R",738,"R",49,"R",303,"Z",0,"R",303,"R",217,"R",72,"R",9,"Z",0,"R",9,"R",3,"R",33,"R",18
240444,"R",5673,"R",7636,"R",74,"R",5759,"Z",0,"R",5759,"R",5404,"R",94,"R",14,"Z",0,"R",14,"R",12,"R",86,"R",22
